model,algorithm,target,metric_type,metric_name,metric_value
Sales Forecast,GradientBoosting,weekly_revenue,Regression,MAE,5459.8113
Sales Forecast,GradientBoosting,weekly_revenue,Regression,RMSE,17475.1656
Sales Forecast,GradientBoosting,weekly_revenue,Regression,MAPE_pct,2.2297
Customer Churn Risk,LogisticRegression,is_churned,Classification,Accuracy,0.9979
Customer Churn Risk,LogisticRegression,is_churned,Classification,F1,0.9767
Customer Churn Risk,LogisticRegression,is_churned,Classification,ROC_AUC,0.9999
Product Demand,RandomForest,weekly_units_by_category,Regression,MAE,9.6984
Product Demand,RandomForest,weekly_units_by_category,Regression,RMSE,13.3988
